geolocation,name,nametype,:@computed_region_nnqa_25f4,fall,year,recclass,reclat,reclong,id,mass,:@computed_region_cbhk_fwbd
"{'type': 'Point', 'coordinates': [3.75, 51.05]}",St. Denis Westrem,Valid,,Fell,1855-01-01T00:00:00.000,L6,51.050000,3.750000,23083,700,
"{'type': 'Point', 'coordinates': [-1.15, 48.01667]}",St. Germain-du-Pinel,Valid,,Fell,1890-01-01T00:00:00.000,H6,48.016670,-1.150000,23087,4000,
"{'type': 'Point', 'coordinates': [-90.23333, 38.7]}",St. Louis,Valid,2223,Fell,1950-01-01T00:00:00.000,H4,38.700000,-90.233330,23089,1000,18
"{'type': 'Point', 'coordinates': [27.41667, -32.01667]}",St. Mark's,Valid,,Fell,1903-01-01T00:00:00.000,EH5,-32.016670,27.416670,23090,13780,
"{'type': 'Point', 'coordinates': [-76.38333, 38.16667]}",St. Mary's County,Valid,424,Fell,1919-01-01T00:00:00.000,LL3.3,38.166670,-76.383330,23091,24.3,45
"{'type': 'Point', 'coordinates': [3.93333, 48.45]}",St. Mesmin,Valid,,Fell,1866-01-01T00:00:00.000,LL6,48.450000,3.933330,23092,8300,
"{'type': 'Point', 'coordinates': [27.2, 61.65]}",St. Michel,Valid,,Fell,1910-01-01T00:00:00.000,L6,61.650000,27.200000,23093,17000,
"{'type': 'Point', 'coordinates': [2.95, 43.43333]}",St.-Chinian,Valid,,Fell,1959-01-01T00:00:00.000,L6,43.433330,2.950000,23097,134.30000000000001,
"{'type': 'Point', 'coordinates': [14.95, 59.93333]}",Ställdalen,Valid,,Fell,1876-01-01T00:00:00.000,H5,59.933330,14.950000,23712,34000,
"{'type': 'Point', 'coordinates': [15.56667, 49.28333]}",Stannern,Valid,,Fell,1808-01-01T00:00:00.000,Eucrite-mmict,49.283330,15.566670,23713,52000,
"{'type': 'Point', 'coordinates': [41.98333, 45.05]}",Stavropol,Valid,,Fell,1857-01-01T00:00:00.000,L6,45.050000,41.983330,23717,1500,
"{'type': 'Point', 'coordinates': [3, 50.76667]}",Ste. Marguerite,Valid,,Fell,1962-01-01T00:00:00.000,H4,50.766670,3.000000,23099,4960,
"{'type': 'Point', 'coordinates': [55.98333, 53.66667]}",Sterlitamak,Valid,,Fell,1990-01-01T00:00:00.000,"Iron, IIIAB",53.666670,55.983330,23724,325000,
"{'type': 'Point', 'coordinates': [9.05, 52.53333]}",Stolzenau,Valid,,Fell,1647-01-01T00:00:00.000,Stone-uncl,52.533330,9.050000,23726,,
"{'type': 'Point', 'coordinates': [-73.13333, 41.2]}",Stratford,Valid,1040,Fell,1974-01-01T00:00:00.000,L6,41.200000,-73.133330,23728,50,24
"{'type': 'Point', 'coordinates': [-3.25, 56.58333]}",Strathmore,Valid,,Fell,1917-01-01T00:00:00.000,L6,56.583330,-3.250000,23729,13400,
"{'type': 'Point', 'coordinates': [-3.95, 50.38333]}",Stretchleigh,Valid,,Fell,1623-01-01T00:00:00.000,Stone-uncl,50.383330,-3.950000,23732,10400,
"{'type': 'Point', 'coordinates': [-72.97806, 45.96861]}",St-Robert,Valid,,Fell,1994-01-01T00:00:00.000,H5,45.968610,-72.978060,23733,25400,
"{'type': 'Point', 'coordinates': [-90.66667, 36.48333]}",Success,Valid,955,Fell,1924-01-01T00:00:00.000,L6,36.483330,-90.666670,23736,3500,15
"{'type': 'Point', 'coordinates': [16.26333, 50.53806]}",Suchy Dul,Valid,,Fell,1969-01-01T00:00:00.000,L6,50.538060,16.263330,23737,815.3,
"{'type': 'Point', 'coordinates': [113.46667, 31.61667]}",Suizhou,Valid,,Fell,1986-01-01T00:00:00.000,L6,31.616670,113.466670,23738,260000,
"{'type': 'Point', 'coordinates': [78.03333, 12.66667]}",Sulagiri,Valid,,Fell,2008-01-01T00:00:00.000,LL6,12.666670,78.033330,48951,110000,
"{'type': 'Point', 'coordinates': [84.28333, 25.93333]}",Sultanpur,Valid,,Fell,1916-01-01T00:00:00.000,L/LL6,25.933330,84.283330,23741,1710.5,
"{'type': 'Point', 'coordinates': [133.16667, 44.86667]}",Sungach,Valid,,Fell,1935-01-01T00:00:00.000,H5,44.866670,133.166670,23745,637,
"{'type': 'Point', 'coordinates': [84.21667, 26.71667]}",Supuhee,Valid,,Fell,1865-01-01T00:00:00.000,H6,26.716670,84.216670,23760,7235,
"{'type': 'Point', 'coordinates': [-120.90806, 38.80389]}",Sutter's Mill,Valid,1187,Fell,2012-01-01T00:00:00.000,C,38.803890,-120.908060,55529,992.5,8
"{'type': 'Point', 'coordinates': [-86.2945, 33.18836]}",Sylacauga,Valid,1637,Fell,1954-01-01T00:00:00.000,H4,33.188360,-86.294500,23773,5560,29
"{'type': 'Point', 'coordinates': [14.65, 49.4]}",Tabor,Valid,,Fell,1753-01-01T00:00:00.000,H5,49.400000,14.650000,23776,7540,
"{'type': 'Point', 'coordinates': [5.41667, 36.18333]}",Tadjera,Valid,,Fell,1867-01-01T00:00:00.000,L5,36.183330,5.416670,23778,9000,
"{'type': 'Point', 'coordinates': [-134.20139, 59.70444]}",Tagish Lake,Valid,,Fell,2000-01-01T00:00:00.000,C2-ung,59.704440,-134.201390,23782,10000,
"{'type': 'Point', 'coordinates': [137.305, 34.72]}",Tahara,Valid,,Fell,1991-01-01T00:00:00.000,H4/5,34.720000,137.305000,23784,1000,
"{'type': 'Point', 'coordinates': [134.9, 35.38333]}",Takenouchi,Valid,,Fell,1880-01-01T00:00:00.000,H5,35.383330,134.900000,23789,720,
,Talampaya,Valid,,Fell,1995-01-01T00:00:00.000,Eucrite-cm,,,23791,1421,
"{'type': 'Point', 'coordinates': [112.76667, -7.75]}",Tambakwatu,Valid,,Fell,1975-01-01T00:00:00.000,L6,-7.750000,112.766670,23795,10500,
"{'type': 'Point', 'coordinates': [-7.015, 31.16333]}",Tamdakht,Valid,,Fell,2008-01-01T00:00:00.000,H5,31.163330,-7.015000,48691,100000,
"{'type': 'Point', 'coordinates': [136.23333, 35.43333]}",Tané,Valid,,Fell,1918-01-01T00:00:00.000,L5,35.433330,136.233330,23801,905,
"{'type': 'Point', 'coordinates': [122.9, 45.4]}",Taonan,Valid,,Fell,1965-01-01T00:00:00.000,L5,45.400000,122.900000,23873,3850,
"{'type': 'Point', 'coordinates': [10.41667, 32.95]}",Tatahouine,Valid,,Fell,1931-01-01T00:00:00.000,Diogenite,32.950000,10.416670,23884,12000,
"{'type': 'Point', 'coordinates': [43.73333, 19.38333]}",Tathlith,Valid,,Fell,1967-01-01T00:00:00.000,L6,19.383330,43.733330,23885,2500,
"{'type': 'Point', 'coordinates': [44.45, 35.13333]}",Tauk,Valid,,Fell,1929-01-01T00:00:00.000,L6,35.133330,44.450000,23887,6000,
"{'type': 'Point', 'coordinates': [23.5, 46.71667]}",Tauti,Valid,,Fell,1937-01-01T00:00:00.000,L6,46.716670,23.500000,23888,21000,
"{'type': 'Point', 'coordinates': [142.95, -25.73333]}",Tenham,Valid,,Fell,1879-01-01T00:00:00.000,L6,-25.733330,142.950000,23897,160000,
"{'type': 'Point', 'coordinates': [26.95, 58.03333]}",Tennasilm,Valid,,Fell,1872-01-01T00:00:00.000,L4,58.033330,26.950000,23898,28500,
"{'type': 'Point', 'coordinates': [70.6, 33.4]}",Thal,Valid,,Fell,1950-01-01T00:00:00.000,H6,33.400000,70.600000,23908,342,
"{'type': 'Point', 'coordinates': [37.15028, -1.00278]}",Thika,Valid,,Fell,2011-01-01T00:00:00.000,L6,-1.002780,37.150280,54493,14200,
"{'type': 'Point', 'coordinates': [27.58333, -29.33333]}",Thuathe,Valid,,Fell,2002-01-01T00:00:00.000,H4/5,-29.333330,27.583330,23976,45300,
"{'type': 'Point', 'coordinates': [118.99, 32.94667]}",Tianzhang,Valid,,Fell,1986-01-01T00:00:00.000,H5,32.946670,118.990000,23984,2232,
"{'type': 'Point', 'coordinates': [17.11667, 49.6]}",Tieschitz,Valid,,Fell,1878-01-01T00:00:00.000,H/L3.6,49.600000,17.116670,23989,28000,
"{'type': 'Point', 'coordinates': [-89.68333, 38.2]}",Tilden,Valid,1762,Fell,1927-01-01T00:00:00.000,L6,38.200000,-89.683330,23998,74800,34
"{'type': 'Point', 'coordinates': [1.53333, 14.25]}",Tillaberi,Valid,,Fell,1970-01-01T00:00:00.000,L6,14.250000,1.533330,23999,3000,
"{'type': 'Point', 'coordinates': [35.2, 54.5]}",Timochin,Valid,,Fell,1807-01-01T00:00:00.000,H5,54.500000,35.200000,24004,65500,
"{'type': 'Point', 'coordinates': [79.41667, 13.63333]}",Tirupati,Valid,,Fell,1934-01-01T00:00:00.000,H6,13.633330,79.416670,24009,230,
"{'type': 'Point', 'coordinates': [-7.61123, 29.48195]}",Tissint,Valid,,Fell,2011-01-01T00:00:00.000,Martian (shergottite),29.481950,-7.611230,54823,7000,
"{'type': 'Point', 'coordinates': [111.53333, -7.08333]}",Tjabe,Valid,,Fell,1869-01-01T00:00:00.000,H6,-7.083330,111.533330,24011,20000,
"{'type': 'Point', 'coordinates': [106.58333, -6.66667]}",Tjerebon,Valid,,Fell,1922-01-01T00:00:00.000,L5,-6.666670,106.583330,24012,16500,
"{'type': 'Point', 'coordinates': [34.76667, 47.85]}",Tomakovka,Valid,,Fell,1905-01-01T00:00:00.000,LL6,47.850000,34.766670,24019,600,
